X_Axis(um/deg),Y_Axis(um),Z_Altitude(um),Intensity(%)
8788.18,-4574.84,95.9398,100
8827.65,-4497.91,95.9216,100
8866.44,-4420.64,95.9309,100
8904.55,-4343.04,95.9007,100
8941.99,-4265.11,95.9228,100
8978.74,-4186.86,95.921,100
9014.81,-4108.29,95.8878,100
9050.19,-4029.4,95.9306,100
9084.88,-3950.22,95.955,100
9118.88,-3870.73,95.9232,100
9152.18,-3790.96,95.926,100
9184.79,-3710.89,95.942,100
9216.69,-3630.55,95.9263,100
9247.89,-3549.93,95.9432,100
9278.39,-3469.05,95.9347,100
9308.18,-3387.9,95.9191,100
9337.26,-3306.5,95.963,100
9365.62,-3224.84,95.9476,100
9393.28,-3142.95,95.9496,100
9420.21,-3060.81,95.9268,100
9446.43,-2978.45,95.9544,100
9471.93,-2895.86,95.9442,100
9496.71,-2813.05,95.945,100
9520.76,-2730.03,95.9427,100
9544.09,-2646.81,95.9639,100
9566.69,-2563.39,95.9596,100
9588.56,-2479.77,95.9626,100
9609.7,-2395.97,95.9721,100
9630.11,-2311.98,95.9513,100
9649.78,-2227.83,95.9539,100
9668.72,-2143.5,95.9391,100
9686.92,-2059.02,95.9693,100
9704.38,-1974.38,95.9819,100
9721.11,-1889.59,95.9653,100
9737.09,-1804.66,95.96,100
9752.33,-1719.6,95.9851,100
9766.83,-1634.41,95.9724,100
9780.58,-1549.09,95.9331,100
9793.59,-1463.66,95.9659,100
9805.85,-1378.12,95.9642,100
9817.37,-1292.48,95.9643,100
9828.14,-1206.74,95.9615,100
9838.16,-1120.92,95.9682,100
9847.42,-1035.01,95.9995,100
9855.94,-949.019,96.021,100
9863.71,-862.963,95.9902,100
9870.73,-776.843,95.9885,100
9876.99,-690.667,95.9536,100
9882.5,-604.44,95.9696,100
9887.26,-518.17,95.9744,100
9891.27,-431.862,95.9902,100
9894.52,-345.524,95.9459,100
9897.02,-259.163,96.0098,100
9898.77,-172.784,96.0148,100
9899.76,-86.3939,96.0066,100
9900,-2.4248e-12,96.0322,100
